 Action Soccer               Sport                    3  
 Air Power                   Flug - Simulation        2  
 Alone in the Dark 1         3D-Aktion - Adventure    7  
 Amored Fist 2               Panzer - Simulation      7  
 Apache Longbow              Flug - Simulation        5  
 A4 Networks                 Wirtschaftssimulation    6  
 Baphomets Fluch 1           Adverture                7  
 Bermuda Syndrome            Jump & Run               5  
 Bleifuss 1                  Autorennen               7  
 Bleifuss Fun                Autorennen               8  
 Blockout                    Logik                    5  
 BLiga Manager Hattrick      Wirtschaftssimulation    7  
 BLiga Manager Professionel  Wirtschaftssimulation    6  
 Carmageddon                 Autorennen               9  
 Chaos Control               3D - Aktion              2  
 Chicago 90                  Autorennen               3  
 Comanche 1                  Flug - Aktion / Sim.     7  
 C&C 1 - Gold Edition        Strategie                8  
 Comander Keen IV            2D - Jump & Run          4  
 Commandos                   Strategie               10  
 Croc                        3D - Jump & Run          8  
 Dark Reign (Englisch)       Strategie                9  
 Das Gewehr                  Strategie                5  
 Day of the Tentacle (MM2)   Adventure                9  
 Death Rally                 Autorennen               7  
 Descent II                  3D - Aktion              8  
 Destruction Derby           Autorennen               8  
 Doom 1                      3D - Shooter             7  
 Doom 3                      3D - Shooter             7  
 Duke Nukem 3D               3D - Shooter             8  
 Duke Nukem 3D Atomic        3D - Shooter             8  
 Earth 2140                  Strategie                9  
 Earth 2140 - Bonuspack 1    Strategie                7  
 Earthsiege 2                3D - Shooter             5  
 Epic Pinball                Flipper                  6  
 Fifa Soccer 94              Sport                    5  
 Fifa 98 - Die WM-Quali.     Sport                    9  
 Forsaken                    3D - Aktion             10  
 G-Police                    3D - Aktion             10  
 Gex 3D: Enter the Gecko     3D - Jump & Run          8  
 Gobliiins 1                 Logik                    4  
 Gungame                     2D - Shooter             2  
 Hi-Octain                   3D - Aktion              7  
 Hind                        Flug - Simulation        4  
 Hocus Pocus                 Jump & Run               5  
 Incredible Toons            Logik                    6  
 Indiana Jones IV            Adventure                8  
 International Tennis Open   Sport                    3  
 Jedi Knight                 3D - Shooter            10  
 Jetpack                     Jump & Run               4  
 Kings Quest VII             Adventure                5  
 KnightÔs Chase              3D-Aktion - Adverture    4  
 Lemmings 1                  Logik                    7  
 Lemmings 1 - Bonuspack 1    Logik                    7  
 Monkey Island 1             Adventure                7  
 Monkey Island 2             Adventure                8  
 Monkey Island 3             Adventure               10  
 Moto Racer                  Autorennen               8  
 Schatten Åber Riva          3D - Adventure           5  
 Star Wars Monopoly          Brettspiel               8  
 NHL 98                      Sport                    8  
 One Must Fall 2097          2D - Fighter             7  
 Orion Burger                Adverture                5  
 Panzer General              Strategie                4  
 POD - Planet of Death       Autorennen               9  
 Prince of Persia 1          Jump & Run               4  
 Pushover                    Logik                    8  
 Quake 1                     3D - Shooter             9  
 Quake 1 - Malice            3D - Shooter             9  
 Quake 2                     3D - Shooter            10  
 Rally Racing 97             Autorennen               7  
 Redneck Rampage             3D - Shooter             8  
 Schach Master 2100          Schach                   3  
 Scorch                      Logik                    4  
 Sega Virtual Fighter 1      3D - Fighter             5  
 Sim City 2000               Wirtschaftssimulation    7  
 Simon the Sorcerer          Adverture                8  
 Shadow Worrier              3D - Shooter             8  
 Solar Crusader              3D - Aktion              2  
 Space Quest 5               Adventure                7  
 StarCraft                   Strategie               10  
 Star General                Strategie                3  
 Supaplex                    Logik                    7  
 Theme Park                  Wirtschaftssimulation    7  
 Tilt                        Flipper                  5  
 Tomp Raider II              3D - Shooter             9  
 Toonstruck                  Adverture                9  
 Transport Tycoon            Wirtschaftssimulation    7  
 Tyrian                      2D Flug - Aktion         7  
 Unreal                      3D - Shooter            10  
 Wacky Wheels                Autorennen               7  
 War Wind 1                  Strategie                7  
 WarCraft 1                  Strategie                8  
 Windowsspiele               verschiedene WinGames    6  
 Worms 1                     Logik                    4  
 Worms 2                     Logik                    8  
 Z                           Strategie                7  
 Zone 66                     2D - Flugspiel           3  
 --------------------------------------------------------
 AntiVirial Toolkit          AntiViren Programm          
 Autodesk 3D Studio          Grafik - Programm           
 Borland Pascal 7.0          Programmiersprache          
 Bryce 2                     Grafik - Programm           
 Command Prozessor 3.2g      Dateienverwaltung           
 Final Reality Benchmark     Benchmark                   
 Grafix Star 550 CD          Treiber / Software          
 Lotus Smartsuite Win95      Office Ñhnlich              
 GameStar CD - 7/98          Demos / Treiber...          
 Guillemot Maxi Gamer 3D CD  Treiber / Benchmarks        
 Normen Virus Control        AntiViren Programm          
 Norten Commander 5.0        Dateienverwaltung           
 Norten Commander fÅr Win95  Dateienverwaltung           
 Norten Untities             Dateienverwaltung           
 Office 97 - prof.           Word 97, Excel 97 ...       
 Visual Basic 4.0            Programmiersprache          
 Windows 95                  Betriebssystem              
 Winsows 98                  Betriebssystem              
 Win95 Tuner 2.0 Shareware   Dateienverwaltung           
 Win - Zip 6.2               KomprimierungsProg.         
